,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_targets_met_pct,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_area,surge_targets_met_pct.1,label
0,2,1660221639223.0,29.95,6.720077896474886e-05,precursor,30.0,-0.0044120631563817625,3.96642211244469e-05,-0.001443957727634948,0.005262057850630497,7,-0.004542115935433144,29.95,29.95,30.0,29.83,-0.03179481154803201,0.16694490818030286,3.0,1660221853896.0,29.88,0.0011393317579378559,surge,29.83,-0.0044120631563817625,3.96642211244469e-05,-0.001443957727634948,0.005262057850630497,1.0,0.0011393317579378559,29.88,29.88,29.83,29.83,0.0011393317579378559,0.0011393317579378559,-0.16733601070950707,0
1,4,1660221888029.0,29.88,0.00010071528902265703,precursor,29.85,-0.004584795431266886,-3.9539002045119176e-05,-0.0015130182190961072,-0.0038771797232152183,6,-0.0023728157618108092,29.88,29.88,29.94,29.83,-0.014236894570864855,0.20080321285141323,5.0,1660222319042.0,29.86,0.002482692957219523,surge,29.83,-0.004584795431266886,-3.9539002045119176e-05,-0.0015130182190961072,-0.0038771797232152183,1.0,0.002482692957219523,29.86,29.86,29.83,29.83,0.002482692957219523,0.002482692957219523,-0.10046885465506074,0
2,6,1660222391319.0,29.86,1.4567823859445993e-07,precursor,29.88,-0.0017262107059241583,-4.063258479014564e-06,-0.0007734504642813445,-0.0008539468736307176,2,-0.0006355857240331942,29.86,29.86,29.88,29.88,-0.0012711714480663884,0.0669792364367032,7.0,1660222571211.0,29.89,0.0011722380468858651,surge,29.88,-0.0017262107059241583,-4.063258479014564e-06,-0.0007734504642813445,-0.0008539468736307176,1.0,0.0011722380468858651,29.89,29.89,29.88,29.88,0.0011722380468858651,0.0011722380468858651,-0.033456005352966084,0
3,8,1660222738948.0,29.89,0.0008365007178449014,precursor,29.94,0.0009965135423187776,5.8653236495564975e-05,0.0013195957092274613,0.011622682397769424,8,-0.011950777125507128,29.89,29.89,29.94,29.51,-0.09560621700405703,0.16728002676480666,9.0,1660224462652.0,29.6,0.003385714489310043,surge,29.51,0.0009965135423187776,5.8653236495564975e-05,0.0013195957092274613,0.011622682397769424,1.0,0.003385714489310043,29.6,29.6,29.51,29.51,0.003385714489310043,0.003385714489310043,-0.30405405405405356,0
4,10,1660224687573.0,29.6,0.0006076749132537973,precursor,29.65,-0.026226683217297486,-3.2804707939537714e-05,-0.009687677068471623,-0.005229106352496071,2,-0.0023244897781790844,29.6,29.6,29.65,29.65,-0.004648979556358169,0.1689189189189093,11.0,1660225132915.0,29.55,0.001930844550967359,surge,29.65,-0.026226683217297486,-3.2804707939537714e-05,-0.009687677068471623,-0.005229106352496071,2.0,0.003958868934140991,29.69,29.55,29.65,29.65,0.007917737868281982,0.007917737868281982,-0.13472549680027854,0
5,12,1660225958993.0,29.69,0.0006735934853368097,precursor,29.72,-0.021976131998196147,-3.5649167814955085e-05,-0.00769463846536611,-0.004849656246968537,1,0.0006735934853368097,29.69,29.69,29.72,29.72,0.0006735934853368097,0.10104412260019395,13.0,1660226554469.0,29.69,0.00232264361525929,surge,29.72,-0.021976131998196147,-3.5649167814955085e-05,-0.00769463846536611,-0.004849656246968537,2.0,0.004741521144995142,29.82,29.69,29.72,29.72,0.009483042289990284,0.009483042289990284,-0.3353454057679457,0
6,14,1660227552789.0,29.82,-0.005557874870114332,precursor,29.77,-0.037432224209359544,-0.00019910588128457807,-0.00911357873174834,-0.015072196965157603,4,-0.023411614129703873,29.82,29.82,29.77,28.99,-0.0936464565188155,-0.16767270288397285,15.0,1660229644530.0,29.38,0.004372147710359276,surge,28.99,-0.037432224209359544,-0.00019910588128457807,-0.00911357873174834,-0.015072196965157603,1.0,0.004372147710359276,29.38,29.38,28.99,28.99,0.004372147710359276,0.004372147710359276,-1.3274336283185861,0
7,16,1660230294404.0,29.38,-0.006386385042131149,precursor,29.28,0.004003996913546137,-7.08585970470299e-05,0.0026531419950635016,-0.0031554718164762408,2,-0.007859106561655739,29.38,29.38,29.28,29.06,-0.015718213123311477,-0.3403675970047579,17.0,1660231530517.0,29.07,0.0021376657294679855,surge,29.06,0.004003996913546137,-7.08585970470299e-05,0.0026531419950635016,-0.0031554718164762408,1.0,0.0021376657294679855,29.07,29.07,29.06,29.06,0.0021376657294679855,0.0021376657294679855,-0.03439972480220696,0
8,18,1660232171726.0,29.07,-0.004050358858565017,precursor,29.15,0.012484279146733335,0.00011036610150549908,0.005298527172274636,0.01652147079314803,4,-0.007830876159470711,29.07,29.07,29.15,28.85,-0.031323504637882846,0.2751977984176068,19.0,1660235395568.0,28.97,0.0014561897292035165,surge,28.85,0.012484279146733335,0.00011036610150549908,0.005298527172274636,0.01652147079314803,1.0,0.0014561897292035165,28.97,28.97,28.85,28.85,0.0014561897292035165,0.0014561897292035165,-0.41422160856057105,0
9,20,1660236225109.0,28.97,-0.0006174081759409477,precursor,28.86,-0.0015429638474003804,2.05133253481371e-05,-4.772569965749707e-05,0.0036183809953631574,1,-0.0006174081759409477,28.97,28.97,28.86,28.86,-0.0006174081759409477,-0.3797031411805296,21.0,1660237233059.0,29.0,0.0033229195643800003,surge,28.86,-0.0015429638474003804,2.05133253481371e-05,-4.772569965749707e-05,0.0036183809953631574,1.0,0.0033229195643800003,29.0,29.0,28.86,28.86,0.0033229195643800003,0.0033229195643800003,-0.48275862068965714,0
