symbol,bc,ac,tbv,tav,time,mp
00-USD,34210.44,20767279.14,835112.48,16059776.43,1718748709684,0.0528
AERGO-USD,50425.60,1000535.76,948062.00,3030470.60,1718748710218,0.0822
1INCH-USD,79132.77,8883009.75,268712.50,2972381.31,1718748710225,0.399
ACS-USD,56230.52,38581670.05,199513184.00,229564566.00,1718748710256,0.0018672
AGLD-USD,66777.79,2130539.84,435351.60,214764.90,1718748710272,1.1219
ABT-USD,285304.85,165590892.40,470519.10,1773941.10,1718748710282,2.8125
ALCX-USD,45424.03,35202469.35,5252.14,33762.62,1718748710293,17.97
ALICE-USD,54582.09,10178892.27,71021.81,200431.06,1718748710304,1.107
AKT-USD,224839.85,2599334.89,365440.30,196392.84,1718748710311,2.766
ALEPH-USD,146028.81,117028972.08,1287151.80,2039065.80,1718748710337,0.2358
AURORA-USD,86741.87,27077785.69,721503.46,3720863.15,1718748710783,0.166
DESO-USD,142828.00,21499461.73,19193.40,111529.32,1718748711032,16.88
GNO-USD,40745.39,584941.86,7689.95,350.10,1718748711041,311.95
ANKR-USD,134248.50,93778035.56,10845641.00,67072142.00,1718748711063,0.02908
AAVE-USD,620976.96,11521943.83,196333.84,40899.01,1718748711125,80.88
HONEY-USD,78463.81,1013140871.89,1565169.80,16113524.60,1718748711192,0.0611
EOS-USD,127696.96,397799018.26,1386271.60,1515614.80,1718748711225,0.55
HFT-USD,77984.29,1267846.83,1766118.06,1136808.22,1718748711374,0.2097
GUSD-USD,466361.82,8156391.56,483205.13,185625.85,1718748711581,1
GLM-USD,217073.71,15252726.61,2266613.20,1599581.70,1718748711626,0.364
GST-USD,108677.39,203302156.49,19630128.37,106295078.66,1718748711743,0.017128
ETC-USD,1150900.16,32184886.30,171591.89,189422.42,1718748711772,23.02
COMP-USD,181649.28,9341450.21,42477.45,25097.28,1718748711875,47.79
IDEX-USD,32939.37,639236624.48,1951016.60,4785834.40,1718748711889,0.0432
IMX-USD,335986.85,13226152.28,948399.70,1258425.70,1718748711903,1.4522
GFI-USD,363665.88,25164456.34,1437531.51,653756.49,1718748711907,2.3931
CVC-USD,128484.21,7930556.01,1868250.40,7335796.70,1718748711915,0.1047
BADGER-USD,86603.99,2245550.70,31045.81,102742.87,1718748711924,3.13
KARRAT-USD,264532.42,6761868.92,423962.78,1536756.96,1718748711935,0.7547
ACH-USD,416242.67,197630003.88,63862446.30,168332319.70,1718748711977,0.021098
GODS-USD,31944.39,13664476.33,628172.04,1643290.77,1718748712084,0.17426
DNT-USD,198420.84,99875811.32,5822272.30,48696024.80,1718748712220,0.0417
ADA-USD,4118684.40,1776207372.77,108143949.14,34676677.83,1718748712298,0.38
AIOZ-USD,714664.09,19910450.16,3808680.20,5677443.10,1718748712886,0.4817
DOT-USD,1348770.97,36200743.06,2485707.34,941513.60,1718748713146,5.738
AERGO-USD,50425.61,1000356.60,948062.00,3028268.90,1718748713149,0.0823
GLM-USD,217073.71,15252726.61,2266613.20,1599581.70,1718748713231,0.364
PUNDIX-USD,41265.61,1209180.39,1292418.66,271223.57,1718748713306,0.3626
LOKA-USD,34435.74,360804.91,267508.78,315090.00,1718748713723,0.2122
HFT-USD,77984.29,1267241.23,1766118.06,1133970.56,1718748713734,0.2097
ACS-USD,56179.25,38581670.52,199483693.00,229564566.00,1718748713762,0.0018672
ABT-USD,285304.85,165590892.40,470519.10,1773941.10,1718748713771,2.8125
00-USD,34210.44,20767279.14,835112.48,16059776.43,1718748713798,0.0528
AMP-USD,285218.28,66540301760.30,147555607.00,889555780.00,1718748713870,0.0047
ALGO-USD,765237.43,516172490.40,75934383.80,42475269.70,1718748713884,0.1332
BADGER-USD,86605.03,2244550.74,31045.81,102424.41,1718748713885,3.13
MEDIA-USD,43153.98,3075125.39,5580.94,33827.54,1718748713929,13.05
KRL-USD,75941.33,6249241.26,250114.40,1890352.50,1718748713990,0.4753
KARRAT-USD,264418.50,6761868.92,423826.54,1536756.96,1718748714024,0.7547
MDT-USD,59951.28,23295457.14,2916807.00,7798188.00,1718748714086,0.04463
BCH-USD,2136582.92,314136929.39,514566.20,21993.22,1718748714151,388.22
LSETH-USD,5973.57,2039.62,13904.12,0.46,1718748714154,3916.09
1INCH-USD,78953.91,8883047.72,268263.54,2972381.31,1718748714233,0.399
INV-USD,39467.46,167984124.83,4035.40,27706.34,1718748714265,30.32
DASH-USD,207311.63,28812334.19,72228.40,27025.07,1718748714357,22.93
GFI-USD,363665.88,25164456.34,1437531.51,653756.49,1718748714389,2.3931
ILV-USD,166044.58,7895408.80,16553.96,7457.45,1718748714396,71.82
COVAL-USD,104370.88,53207911.20,25359306.00,81845505.00,1718748714411,0.01417
AERO-USD,1085557.84,173892881.20,5571764.50,7419319.40,1718748714512,0.78597
PRO-USD,285850.93,33625377.46,925424.29,1298456.78,1718748714523,1.2988
AAVE-USD,622613.68,11525026.53,196354.18,40937.60,1718748714558,80.85
TRU-USD,262026.97,36612780.40,4229823.40,13122843.70,1718748714565,0.1502
PYR-USD,154872.05,12988833.53,62975.22,343792.04,1718748714590,3.532
AIOZ-USD,714445.10,19910249.69,3808243.60,5677029.00,1718748714703,0.4817
ICP-USD,1434388.38,258658362.97,12190974.13,1097658.58,1718748714733,8.171
MKR-USD,307966.33,4997753.01,138938.98,1156.09,1718748714737,2222.19
KAVA-USD,141946.71,2674029.02,449820.32,724504.67,1718748714805,0.4462
RENDER-USD,167565.81,5662981.73,60798.53,107108.46,1718748714877,7.166
XYO-USD,273212.61,258313649.58,90165709.20,311755418.90,1718748715074,0.00564
ACH-USD,416257.67,197616705.12,63862212.90,167703406.10,1718748715127,0.021098
IMX-USD,332795.83,13226669.97,946200.55,1258786.85,1718748715293,1.4519
INJ-USD,1047941.36,30978367.92,1699172.63,303434.59,1718748715417,20.253
DRIFT-USD,623291.10,8083976.93,1609830.39,1583855.90,1718748716066,0.441
OSMO-USD,306432.00,2558985.19,691473.45,764874.54,1718748716307,0.5191
GLM-USD,217073.73,15247236.01,2266613.20,1584967.90,1718748716485,0.364
GHST-USD,72894.37,3933253.35,70089.74,209393.25,1718748716554,1.25
VOXEL-USD,23550.41,2635735.05,541603.17,680899.49,1718748716698,0.1658
AST-USD,22871.27,9566224.08,252675.30,3347248.10,1718748716718,0.0993
POLS-USD,39202.11,3004090.31,140257.92,146801.84,1718748716750,0.5627
AGLD-USD,61079.81,2130539.84,430276.09,214764.90,1718748716982,1.1219
DOT-USD,1342447.26,36190209.34,2484603.99,939679.81,1718748717034,5.738
PIRATE-USD,170803.32,589165.81,1378412.90,1009817.70,1718748717036,0.2092
FORT-USD,69945.76,3838988.29,609505.04,3570488.36,1718748717147,0.1607
AKT-USD,224839.85,2600149.41,365440.30,196687.19,1718748717168,2.766
