timedelta,symbol,commence
{Timedelta('2 days 22:00:00')},{'SAND-USD'},"{datetime.datetime(2024, 5, 17, 21, 32, 46)}"
{Timedelta('0 days 22:21:00')},{'CLV-USD'},"{datetime.datetime(2024, 5, 23, 21, 48, 32)}"
{Timedelta('0 days 01:00:00')},{'ONDO-USD'},"{datetime.datetime(2024, 5, 24, 23, 10, 44)}"
{Timedelta('0 days 01:15:00')},{'VELO-USD'},"{datetime.datetime(2024, 5, 28, 23, 1, 19)}"
{Timedelta('0 days 13:00:00')},{'APE-USD'},"{datetime.datetime(2024, 5, 11, 21, 30, 54)}"
{Timedelta('0 days 00:15:00')},{'OCEAN-USD'},"{datetime.datetime(2024, 5, 20, 7, 24, 41)}"
{Timedelta('0 days 02:55:00')},{'ASM-USD'},"{datetime.datetime(2024, 5, 4, 21, 20, 17)}"
{Timedelta('0 days 13:05:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 25, 4, 8, 36)}"
{Timedelta('0 days 07:35:00')},{'KRL-USD'},"{datetime.datetime(2024, 5, 14, 22, 29, 26)}"
{Timedelta('1 days 13:25:00')},{'JASMY-USD'},"{datetime.datetime(2024, 5, 11, 18, 42, 6)}"
{Timedelta('0 days 07:35:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 5, 9, 1, 36)}"
{Timedelta('3 days 19:50:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 11, 17, 40, 21)}"
{Timedelta('0 days 01:10:00')},{'LDO-USD'},"{datetime.datetime(2024, 5, 20, 18, 11, 31)}"
{Timedelta('0 days 00:43:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 13, 15, 51, 35)}"
{Timedelta('0 days 19:35:00')},{'ORN-USD'},"{datetime.datetime(2024, 5, 4, 20, 34, 47)}"
{Timedelta('0 days 03:44:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 26, 11, 30, 41)}"
{Timedelta('0 days 07:37:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 20, 8, 17, 2)}"
{Timedelta('0 days 18:15:00')},{'PERP-USD'},"{datetime.datetime(2024, 5, 4, 21, 5, 36)}"
{Timedelta('0 days 02:00:00')},{'UNI-USD'},"{datetime.datetime(2024, 5, 21, 21, 31, 28)}"
{Timedelta('0 days 13:45:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 5, 1, 7, 36)}"
{Timedelta('0 days 00:16:00')},{'MLN-USD'},"{datetime.datetime(2024, 5, 26, 11, 51, 19)}"
{Timedelta('0 days 05:30:00')},{'TNSR-USD'},"{datetime.datetime(2024, 5, 21, 16, 47, 15)}"
{Timedelta('0 days 00:42:00')},{'VET-USD'},"{datetime.datetime(2024, 5, 13, 15, 43, 10)}"
{Timedelta('0 days 06:17:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 5, 18, 57, 52)}"
{Timedelta('1 days 09:00:00')},{'PYR-USD'},"{datetime.datetime(2024, 5, 4, 22, 26, 38)}"
{Timedelta('0 days 04:55:00')},{'LOKA-USD'},"{datetime.datetime(2024, 5, 5, 10, 26, 36)}"
{Timedelta('0 days 08:15:00')},{'RAD-USD'},"{datetime.datetime(2024, 5, 18, 18, 19, 9)}"
{Timedelta('0 days 03:45:00')},{'ALICE-USD'},"{datetime.datetime(2024, 5, 5, 10, 56, 37)}"
{Timedelta('0 days 16:39:00')},{'PERP-USD'},"{datetime.datetime(2024, 5, 4, 22, 19, 29)}"
{Timedelta('0 days 02:02:00')},{'DIMO-USD'},"{datetime.datetime(2024, 5, 16, 18, 39, 6)}"
{Timedelta('0 days 00:21:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 23, 21, 52, 59)}"
{Timedelta('0 days 02:05:00')},{'ACH-USD'},"{datetime.datetime(2024, 5, 25, 2, 7, 23)}"
{Timedelta('1 days 04:55:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 23, 22, 35, 13)}"
{Timedelta('0 days 00:25:00')},{'PNG-USD'},"{datetime.datetime(2024, 5, 4, 22, 54, 42)}"
{Timedelta('0 days 02:45:00')},{'SPELL-USD'},"{datetime.datetime(2024, 5, 14, 22, 47, 37)}"
{Timedelta('0 days 04:50:00')},{'ENS-USD'},"{datetime.datetime(2024, 5, 23, 22, 55, 42)}"
{Timedelta('0 days 10:56:00')},{'QNT-USD'},"{datetime.datetime(2024, 5, 14, 22, 58, 52)}"
{Timedelta('0 days 00:49:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 21, 19, 41, 39)}"
{Timedelta('0 days 11:00:00')},{'NMR-USD'},"{datetime.datetime(2024, 5, 15, 1, 33, 1)}"
{Timedelta('0 days 01:30:00')},{'MOBILE-USD'},"{datetime.datetime(2024, 5, 5, 9, 57, 58)}"
{Timedelta('0 days 14:26:00')},{'RLC-USD'},"{datetime.datetime(2024, 5, 4, 21, 7, 17)}"
{Timedelta('0 days 05:01:00')},{'DASH-USD'},"{datetime.datetime(2024, 5, 14, 22, 35, 34)}"
{Timedelta('1 days 15:10:00')},{'ALCX-USD'},"{datetime.datetime(2024, 5, 13, 22, 25, 21)}"
{Timedelta('0 days 03:30:00')},{'QI-USD'},"{datetime.datetime(2024, 5, 14, 23, 7, 57)}"
{Timedelta('0 days 01:10:00')},{'BNT-USD'},"{datetime.datetime(2024, 5, 23, 23, 15, 16)}"
{Timedelta('0 days 11:45:00')},{'BADGER-USD'},"{datetime.datetime(2024, 5, 14, 22, 27, 28)}"
{Timedelta('0 days 03:30:00')},{'AIOZ-USD'},"{datetime.datetime(2024, 5, 30, 8, 14, 46)}"
{Timedelta('0 days 16:41:00')},{'CHZ-USD'},"{datetime.datetime(2024, 5, 28, 22, 42, 6)}"
{Timedelta('1 days 18:59:00')},{'DOGE-USD'},"{datetime.datetime(2024, 5, 11, 18, 7, 36)}"
{Timedelta('0 days 00:54:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 13, 15, 41, 27)}"
{Timedelta('0 days 21:50:00')},{'XYO-USD'},"{datetime.datetime(2024, 5, 16, 11, 2, 11)}"
{Timedelta('0 days 00:16:00')},{'BLUR-USD'},"{datetime.datetime(2024, 5, 16, 9, 26, 12)}"
{Timedelta('1 days 00:00:00')},{'METIS-USD'},"{datetime.datetime(2024, 5, 16, 7, 48, 59)}"
{Timedelta('0 days 05:40:00')},{'KNC-USD'},"{datetime.datetime(2024, 5, 5, 9, 42, 4)}"
{Timedelta('0 days 01:18:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 30, 9, 30, 19)}"
{Timedelta('0 days 00:10:00')},{'LPT-USD'},"{datetime.datetime(2024, 5, 5, 9, 24, 58)}"
{Timedelta('0 days 17:10:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 21, 18, 20, 35)}"
{Timedelta('1 days 11:05:00')},{'UNI-USD'},"{datetime.datetime(2024, 5, 4, 21, 20, 8)}"
{Timedelta('0 days 03:56:00')},{'VTHO-USD'},"{datetime.datetime(2024, 5, 5, 11, 28, 4)}"
{Timedelta('1 days 12:25:00')},{'MDT-USD'},"{datetime.datetime(2024, 5, 14, 0, 16, 26)}"
{Timedelta('2 days 20:26:00')},{'POWR-USD'},"{datetime.datetime(2024, 5, 17, 23, 5, 28)}"
{Timedelta('0 days 03:40:00')},{'ILV-USD'},"{datetime.datetime(2024, 5, 29, 0, 45, 55)}"
{Timedelta('0 days 01:30:00')},{'SHIB-USD'},"{datetime.datetime(2024, 5, 14, 2, 14, 52)}"
{Timedelta('0 days 00:56:00')},{'GODS-USD'},"{datetime.datetime(2024, 5, 25, 3, 14, 51)}"
{Timedelta('4 days 20:52:00')},{'ATOM-USD'},"{datetime.datetime(2024, 5, 12, 17, 9, 17)}"
{Timedelta('0 days 12:28:00')},{'BAND-USD'},"{datetime.datetime(2024, 5, 13, 23, 7, 9)}"
{Timedelta('0 days 06:25:00')},{'DIA-USD'},"{datetime.datetime(2024, 5, 30, 7, 31, 35)}"
{Timedelta('0 days 08:25:00')},{'NEAR-USD'},"{datetime.datetime(2024, 5, 20, 7, 36, 23)}"
{Timedelta('0 days 17:55:00')},{'CTX-USD'},"{datetime.datetime(2024, 5, 24, 23, 39, 50)}"
{Timedelta('0 days 00:05:00')},{'FIS-USD'},"{datetime.datetime(2024, 5, 23, 21, 26, 55)}"
{Timedelta('0 days 02:13:00')},{'XTZ-USD'},"{datetime.datetime(2024, 5, 14, 23, 50, 21)}"
{Timedelta('0 days 02:00:00')},{'FORTH-USD'},"{datetime.datetime(2024, 5, 20, 8, 57, 30)}"
{Timedelta('0 days 00:22:00')},{'CELR-USD'},"{datetime.datetime(2024, 5, 15, 0, 50, 48)}"
{Timedelta('0 days 02:25:00')},{'OP-USD'},"{datetime.datetime(2024, 5, 20, 8, 21, 15)}"
{Timedelta('3 days 21:30:00')},{'ROSE-USD'},"{datetime.datetime(2024, 5, 11, 20, 16, 46)}"
{Timedelta('2 days 03:05:00')},{'AVT-USD'},"{datetime.datetime(2024, 5, 13, 18, 53, 51)}"
{Timedelta('0 days 00:12:00')},{'NKN-USD'},"{datetime.datetime(2024, 5, 30, 8, 15, 27)}"
{Timedelta('2 days 10:40:00')},{'API3-USD'},"{datetime.datetime(2024, 5, 25, 1, 53, 39)}"
{Timedelta('0 days 03:03:00')},{'OXT-USD'},"{datetime.datetime(2024, 5, 5, 11, 53, 31)}"
{Timedelta('1 days 16:25:00')},{'APE-USD'},"{datetime.datetime(2024, 5, 13, 22, 23, 55)}"
{Timedelta('1 days 11:23:00')},{'BAT-USD'},"{datetime.datetime(2024, 5, 4, 20, 58, 1)}"
{Timedelta('0 days 22:15:00')},{'LQTY-USD'},"{datetime.datetime(2024, 5, 16, 9, 56, 30)}"
{Timedelta('3 days 22:10:00')},{'ENS-USD'},"{datetime.datetime(2024, 5, 11, 19, 0, 47)}"
{Timedelta('0 days 04:15:00')},{'LOKA-USD'},"{datetime.datetime(2024, 5, 5, 18, 50, 21)}"
